time,loves,wow,haha,likes,sad,angry
2017-02-06 12:28:02.439,0,0,0,0,0,0
2017-02-06 12:29:02.598,0,0,0,0,0,0
2017-02-06 12:30:02.766,0,0,0,0,0,0
2017-02-06 12:31:02.919,0,0,0,1,0,0
2017-02-06 12:32:03.047,0,0,0,1,0,0
2017-02-06 12:33:03.255,0,0,0,2,0,0
2017-02-06 12:34:03.398,0,0,0,2,0,0
2017-02-06 12:35:03.56,0,0,0,2,0,0
2017-02-06 12:36:03.694,0,0,0,3,0,0
2017-02-06 12:37:03.83,1,0,0,3,0,1
2017-02-06 12:38:04.044,1,0,0,3,0,1
2017-02-06 12:39:04.665,2,0,0,4,0,2
2017-02-06 12:40:04.792,2,0,0,4,0,2
2017-02-06 12:41:04.922,2,0,0,5,0,2
2017-02-06 12:42:05.065,2,0,0,5,0,2
2017-02-06 12:43:05.435,2,0,0,7,0,2
2017-02-06 12:44:05.558,2,0,0,8,0,2
2017-02-06 12:45:06.074,2,0,0,8,0,2
2017-02-06 12:46:06.2,2,0,0,8,0,2
2017-02-06 12:47:06.328,2,0,0,10,0,2
2017-02-06 12:48:06.468,3,0,0,10,0,3
2017-02-06 12:49:06.707,3,0,0,10,0,3
2017-02-06 12:50:06.834,3,0,0,10,0,3
2017-02-06 12:51:07.026,3,0,0,12,0,3
2017-02-06 12:53:26.817,3,0,0,14,0,3
2017-02-06 12:54:26.989,3,0,0,16,0,3
2017-02-06 12:55:27.159,3,0,0,16,0,3
2017-02-06 12:56:27.328,3,0,0,17,0,3
2017-02-06 12:57:27.515,3,0,0,18,0,3
2017-02-06 12:58:27.714,4,0,0,19,0,4
2017-02-06 12:59:27.973,4,0,0,19,0,4
2017-02-06 13:00:28.151,4,0,0,19,0,4
2017-02-06 13:01:28.329,4,0,0,20,0,4
2017-02-06 13:02:28.519,4,0,0,20,0,4
2017-02-06 13:03:28.707,4,0,0,20,0,4
2017-02-06 13:04:28.97,4,0,0,21,0,4
2017-02-06 13:05:29.131,4,0,0,22,0,4
2017-02-06 13:06:29.313,4,0,0,22,0,4
2017-02-06 13:07:29.531,4,0,0,22,0,4
2017-02-06 13:08:29.708,4,0,0,23,0,4
2017-02-06 13:09:29.91,4,0,0,25,0,4
2017-02-06 13:10:30.136,4,0,0,27,0,4
2017-02-06 13:11:30.307,4,0,0,28,0,4
2017-02-06 13:12:30.476,4,0,0,28,0,4
2017-02-06 13:13:30.664,4,0,0,28,0,4
2017-02-06 13:14:30.835,4,0,0,28,0,4
2017-02-06 13:15:31.025,5,0,0,30,0,5
2017-02-06 13:16:31.217,5,0,0,30,0,5
2017-02-06 13:17:31.383,5,0,0,30,0,5
2017-02-06 13:18:31.57,5,0,0,33,0,5
2017-02-06 13:19:31.755,5,0,0,33,0,5
2017-02-06 13:20:31.953,5,0,0,35,0,5
2017-02-06 13:22:52.136,6,0,0,35,0,6
2017-02-06 13:23:52.308,6,0,1,36,0,6
2017-02-06 13:24:52.488,6,0,1,36,0,6
2017-02-06 13:25:52.654,6,0,1,36,0,6
2017-02-06 13:26:52.846,6,0,1,36,0,6
2017-02-06 13:27:53.021,6,0,1,37,0,6
