time,loves,wow,haha,likes,sad,angry
2017-02-06 13:32:55.994,3,1,0,20,0,3
2017-02-06 13:33:56.158,4,1,0,35,0,4
2017-02-06 13:34:56.341,5,1,0,55,0,5
2017-02-06 13:35:56.521,5,1,0,60,0,5
2017-02-06 13:38:06.995,7,1,0,81,0,7
2017-02-06 13:39:07.229,8,1,0,88,0,8
2017-02-06 13:40:07.402,9,1,1,92,0,9
2017-02-06 13:41:07.666,10,1,1,102,0,10
2017-02-06 13:42:07.862,12,1,1,115,0,12
2017-02-06 13:43:08.157,12,2,1,123,0,12
2017-02-06 13:44:08.334,12,2,1,135,0,12
2017-02-06 13:45:08.628,12,2,1,143,0,12
2017-02-06 13:46:08.805,12,2,2,152,0,12
2017-02-06 13:47:14.011,13,2,2,157,0,13
2017-02-06 13:48:14.203,14,2,2,164,0,14
2017-02-06 13:49:14.384,14,2,2,170,0,14
2017-02-06 13:50:14.579,14,2,2,175,0,14
2017-02-06 13:51:14.753,14,2,2,181,0,14
2017-02-06 13:52:14.934,14,2,2,189,0,14
2017-02-06 13:53:15.116,16,2,2,195,0,16
2017-02-06 13:54:15.305,18,2,2,200,0,18
2017-02-06 13:55:15.494,18,3,2,206,0,18
2017-02-06 13:56:15.68,18,3,2,213,0,18
2017-02-06 13:57:15.884,18,3,2,219,0,18
2017-02-06 13:58:16.066,18,3,2,224,0,18
2017-02-06 13:59:16.244,18,3,3,227,0,18
2017-02-06 14:00:16.425,20,3,3,231,0,20
2017-02-06 14:01:16.6,20,3,3,237,0,20
2017-02-06 14:02:16.779,21,3,3,240,0,21
2017-02-06 14:03:16.95,22,3,3,244,0,22
2017-02-06 14:04:17.153,22,3,3,252,0,22
2017-02-06 14:05:17.337,23,3,3,257,0,23
2017-02-06 14:06:17.523,24,3,3,259,0,24
2017-02-06 14:07:17.699,26,3,3,268,0,26
2017-02-06 14:08:17.883,26,3,3,271,0,26
2017-02-06 14:09:18.083,28,3,3,277,0,28
2017-02-06 14:10:18.26,31,3,4,281,0,31
2017-02-06 14:11:18.438,32,3,4,286,0,32
2017-02-06 14:12:18.615,33,3,5,293,0,33
2017-02-06 14:13:18.801,34,3,6,296,0,34
2017-02-06 14:14:19.046,34,3,6,302,0,34
2017-02-06 14:15:19.232,34,3,6,307,0,34
2017-02-06 14:16:19.406,34,3,6,311,0,34
2017-02-06 14:17:19.588,34,3,6,316,0,34
2017-02-06 14:18:19.767,34,3,6,317,0,34
2017-02-06 14:19:19.949,35,3,6,319,0,35
2017-02-06 14:20:20.134,35,3,6,323,0,35
2017-02-06 14:21:20.315,35,3,7,327,0,35
2017-02-06 14:22:20.509,36,3,7,331,0,36
2017-02-06 14:23:20.692,36,3,7,334,0,36
2017-02-06 14:24:20.906,37,3,7,336,0,37
2017-02-06 14:25:21.137,39,3,7,340,0,39
2017-02-06 14:26:21.313,39,3,8,342,0,39
2017-02-06 14:27:21.501,40,3,8,345,0,40
2017-02-06 14:28:21.698,40,3,8,356,0,40
2017-02-06 14:29:21.945,40,3,8,358,0,40
2017-02-06 14:30:22.132,41,3,8,363,0,41
2017-02-06 14:31:22.325,41,3,8,369,0,41
2017-02-06 14:32:22.498,41,3,8,374,0,41
