time,loves,wow,haha,likes,sad,angry,shares
2017-02-09 20:19:48.948,27,0,0,189,0,27,33
2017-02-09 20:24:49.254,52,0,6,431,0,52,98
2017-02-09 20:29:49.677,72,1,7,641,0,72,135
2017-02-09 20:34:50.034,98,1,7,841,0,98,182
2017-02-09 20:39:50.472,117,2,8,1080,0,117,231
2017-02-09 20:44:50.825,147,2,12,1262,0,147,272
2017-02-09 20:49:51.171,161,3,14,1446,0,161,310
2017-02-09 20:54:51.562,174,3,15,1579,0,174,344
2017-02-09 20:59:51.932,186,3,17,1721,0,186,386
2017-02-09 21:04:52.282,197,3,19,1843,0,197,413
2017-02-09 21:09:52.842,208,3,22,1970,0,208,441
2017-02-09 21:14:53.188,226,3,23,2081,0,226,463
